,F.E.T.S.U. PRESENTS SRIJAN 2026 EVENTS SCHEDULE & VENUE ,,,,,,,,,,,,
,ROOM,Capacity ,10-11AM,11-12NOON,12-1PM,1-2PM,2-3PM,3-4PM,4-5PM,DATE,PROJECTOR,AC,
,"Seminar Hall 2, SMCC 1ST FLOOR",100+,,,CYPHER 3331 PRELIMS,,,,,10TH APRIL,FALSE,TRUE,
,,,Escape Room Prelims,,,,,,,11TH APRIL,,,
,,,SNAP SYNTAX FINALS,,,,CYPHER 3331 FINALS,,,12TH APRIL,,,
,,,,,,,,,,,,,
,"FINAL YEAR CLASSROOM, SMCC 2ND FLOOR",100,GAMING,,,,,,,10TH APRIL,TRUE,TRUE,
,,,,,,,,,,11TH APRIL,,,
,,,,,,,,,,12TH APRIL,,,
,,,,,,,,,,,,,
,"Exam hall/3rd yr class, SMCC 2ND FLOOR",100,GAMING,,,,,,,10TH APRIL,TRUE,TRUE,"no tiles, no permission, satty for gaming"
,,,,,,,,,,11TH APRIL,,,
,,,,,,,,,,12TH APRIL,,,
,,,,,,,,,,,,,
,"2nd year CLASSROOM, SMCC 3RD FLOOR",81,GAMING,,,,,,,10TH APRIL,FALSE,TRUE,
,,,,,,,,,,11TH APRIL,,,
,,,,,,,,,,12TH APRIL,,,
,,,,,,,,,,,,,
,"Smart CLASSROOM, SMCC 3RD FLOOR",81,,,CYPHER 3331 PRELIMS,,,,,10TH APRIL,TRUE,TRUE,
,,,ESCAPE ROOM PRELIMS,,,,,,,11TH APRIL,,,
,,,EPOCHALYPSE FINALE,,,,,,,12TH APRIL,,,
,,,,,,,,,,,,,
,"1ST YR CLASSROOM, SMCC 3RD FLOOR",125,,,CYPHER 3331 PRELIMS,,,,,10TH APRIL,TRUE,FALSE,
,,,OPENAIMER FINALS,,,,Escape Room Prelims ,,,11TH APRIL,,,
,,,SNAP SYNTAX FINALS,,,,,,,12TH APRIL,,,
,,,,,,,,,,,,,
,"COMPUTER CENTRE,SMCC 4TH FLOOR",90,,,,,,,,10TH APRIL,FALSE,TRUE,
,,,SHERLOCKED FINALE (ends 12pm),,PASS THE BATON FINALE (12:30-2:30pm),,,SYSTEM VANGUARD FINALE(3-5),,11TH APRIL,,,
,,,UNCODE FINALE,,,H42 FINALE,,,,12TH APRIL,,,
,,,,,,,,,,,,,
,"AMENITY CENTRE, BIG HALL, 1ST FLOOR",,,COLD CASE PRELIMS,,,,,,10TH APRIL,FALSE,FALSE,
,,,XSTREAM FINALS,,,,,,,11TH APRIL,,,
,,,,,,,,,,12TH APRIL,,,
,,,,,,,,,,,,,
